granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
method,rclone,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.7692307692,0.2186901765,0.6829442123,0.7512360912,True
method,terraform,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5294852574,0.03885072228,0.5498590854,0.4044978605,True
method,traefik,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.4274852331,-0.0009017756523,0.5196193848,0.2943973621,True
method,vault,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.4025122884,0.006673287723,0.4937743018,0.2745522885,True
method,caddy,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.6625129803,0.1465943208,0.5773351276,0.5611845965,True
method,compose,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.6537396122,0.159235002,0.6101375696,0.5642124988,True
method,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.6989010989,0.06196524145,0.605590781,0.6583572962,True
method,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.741956242,0.08671826311,0.597746907,0.6488520297,True
method,gin,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.5570776256,0.02690314199,0.500267094,0.3992265839,True
method,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.5547724069,0.1211817096,0.5278014469,0.3883105573,True
method,grafana,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.5113287531,0.08282889193,0.5870003975,0.4033433548,True
method,influxdb,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.7336473051,0.2652074189,0.6924677395,0.7309660845,True
method,kubernetes,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.6592244418,0.004454003074,0.5806652422,0.6194211438,True
method,minio,naive_bayes,"{""model__var_smoothing"": 1e-09}",3,0.7004852725,0.1681897577,0.61620127,0.640634484,True
